Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
Gaufrette fourrée vanille préemballée,2250,538,1.1,5.75,5.75,60.1,30.1,32.9,"< 0,1","< 0,1",5.98,5.93,0.18,20.8,24.4,1.6,traces,1.12,0,0.27,19.9,7.06,1.69,"< 0,01",0.05,0.71,0.59,5.46,2.22,9.35,1.4,6.89,1.63,0.05,"< 0,01","< 0,01","< 0,01",8.85,0.36,92,241,0.07,0.55,,24,0.27,120,260,< 20,144,0.49,< 21,< 5,"< 0,25",1.86,2.09,0.63,0.041,0.16,0.27,1.08,0.041,15.3,0.29
Gaufrette fourrée aux fruits,,,9.32,4.43,4.43,82.4,1.58,41.7,,,15.6,,17.1,"< 0,25",24.4,1.66,,0.6,0,0,0.75,0.27,0.29,"< 0,005","< 0,005",0.0043,0.0038,0.014,0.012,0.25,0.04,0.26,0.27,0.021,"< 0,005","< 0,005","< 0,005",,0.28,,,,,,,,,,,110,,,,,,,0.3,,,,,,,
Meringue,,,0.8,4.11,4.06,94.3,"< 0,5",94.3,"< 0,2",,"< 0,2","< 0,2","< 0,2",94.3,0,"< 0,5",,0.29,0,0,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0,0.16,4.15,,0.03,0.18,2,4.76,traces,20.6,89.8,3,64.4,0.15,0,0,0,0,,0,traces,0.24,0.1,0.16,0.01,6,0.1
Biscuit sec/tuile aux amandes,1980,471,3.2,7.8,7.8,68,18.1,39.2,,,0.25,,"< 0,2",38.9,28.6,2.1,traces,0.69,0,0.065,5.65,8.41,2.24,0.12,0.09,0.21,0.22,1.03,0.8,2.41,0.64,8.07,2.19,0.05,"< 0,01","< 0,01","< 0,01",43.6,0.21,49,150,0.14,0.81,10.5,40,0.46,120,170,< 20,82,0.67,43.9,44.3,"< 0,25",4.17,1.02,"< 0,5",0.061,0.041,0.23,0.47,0.044,15.3,0.084
Biscuit sec type tuile aux fruits,1610,384,,5.43,5.43,74.9,8.28,26.9,,,,,,,,7.14,16.4,0.7,0,0,3.69,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,296,,,,,1.5,,,,,,,,,0.25
Biscuit sec feuilleté type palmier/autres,,,2.49,6.1,6.1,60.5,27.6,21.6,1.36,,1.59,"< 0,2",0.52,18.1,38.9,2.06,,1.29,0,0,14.4,9.49,2.92,0.029,0.028,0.17,0.13,0.9,0.58,9.58,1.83,8.55,2.6,0.23,0.0029,0.0029,"< 0,005",11.7,1.01,16.7,,"< 0,1",0.4,3,14.6,0.3,57.6,91.2,< 5,400,0.4,26.5,35,0.92,2.07,,0,0.15,0.052,0.75,0.29,0.24,34.7,"< 0,08"
Palmier artisanal,,,6.12,5.93,5.93,53.1,28.2,21.8,0.5,,0.8,"< 0,2",0.6,19.9,24.7,5.3,,1.32,0,0,14.4,8.4,2.06,0.84,0.42,0.28,0.68,0.52,0.87,8.49,2.3,7.84,0.78,0.25,0.027,0,,28,1.16,15.6,0.9,< 1,0.58,< 10,11.5,< 1,54,83.5,10.7,463,< 1,47,< 50,"< 0,2",3.2,,0,"< 0,05","< 0,05",0.2,0.32,0.08,11.5,0.43
Millefeuille,,,40.1,3.88,3.88,43.7,11.3,28.8,"< 0,5",,"< 0,5","< 0,5","< 0,5",21.1,13,0.24,,0.8,0,traces,5.27,2.92,0.74,0.12,0.076,0.057,0.1,0.2,0.45,3.3,0.82,2.67,,0.1,0.0032,0.0017,,27,0.42,67.4,0.3,< 1,< 1,< 10,14.4,< 1,71,111,47.2,168,< 1,65,< 50,"< 0,2",0.57,,,"< 0,05",0.48,0.2,0.25,0.05,14.2,0.42
AIL FRAIS,623,149,58.58,6.36,33.06,0.50,,,,,,,,29.96,,2.10,,1.50,,,0.09,0.01,0.25,,,,,,,,,,,0.02,0.23,,,0.00,,181.00,,0.30,1.70,,25.00,1.67,153.00,401.00,14.20,17.00,1.16,0.00,0.00,,0.01,1.40,31.20,0.20,0.11,0.70,0.60,1.24,3000,0.00
ANIS,1410,337,9.54,17.60,30.88,15.90,,,,,,,,,,14.60,,6.95,,,0.59,9.78,3.15,,,,,,,,,,,0.00,3.15,,,0.00,,646.00,,0.91,36.96,,170.00,2.30,440.00,1441.00,5.00,16.00,5.30,32.00,,,1.03,,21.00,0.34,0.29,3.06,0.80,0.65,10000,0.00
CANNELLE SÈCHE,1485,355,10.00,4.50,79.80,2.20,,,,,,,,,,24.40,,3.50,,,,,,,,,,,,,,,,,,,,0.00,,1600.00,,,4.10,,,,,40.00,,10.00,,2.60,15.60,,,,40.00,0.14,0.02,0.00,,,,0.00
CÂPRE,96,23,83.85,2.36,4.89,0.86,,,,,,,,1.28,,3.20,,8.04,,,0.23,0.06,0.30,,,,,,,,,,,0.18,0.11,,,0.00,,40.00,,0.37,1.67,,33.00,0.08,10.00,40.00,1.20,2964.00,0.32,14.00,83.00,,0.88,24.60,4.30,0.02,0.14,0.65,0.03,0.02,23000,0.00
CARVI,1393,333,9.87,19.77,30.65,14.59,,,,,,,,11.26,,38.00,,5.87,,,0.62,7.13,3.27,,,,,,,,,,,0.15,3.12,,,0.00,,689.00,,0.91,16.23,,258.00,1.30,568.00,1351.00,12.10,17.00,5.50,36.00,189.00,0.00,2.50,0.00,21.00,0.38,0.38,3.61,,0.36,10000,0.00
CORIANDRE,1247,298,8.86,12.37,22.15,17.77,,,,,,,,,,41.90,,6.02,,,0.99,13.58,1.75,,,,,,,,,,,0.00,1.75,,,0.00,,709.00,,0.98,16.32,,330.00,1.90,409.00,1267.00,26.20,35.00,4.70,0.00,0.00,0.00,,,21.00,0.24,0.29,2.13,,,0,0.00
CORNICHON AU VINAIGRE,67,16,93.00,0.70,2.20,0.10,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,14.00,,,1.00,,11.00,,20.00,125.00,,700.00,,,800.00,0.00,0.10,,5.00,0.02,0.02,0.16,,0.02,7000,0.00
CUMIN EN POUDRE,1862,445,10.00,19.00,40.00,10.00,,,,,,,,,,36.00,,7.50,,,,,,,,,,,,,,,,,,,,,,830.00,,,34.20,,,,,,,198.00,,45.00,270.00,,,,2.00,,,,,,,0.00
CURCUMA EN POUDRE,1481,354,11.36,7.83,58.44,9.88,,0.45,,0.38,,0.00,2.38,40.62,,21.10,,6.02,,,3.12,1.66,2.18,,,,,,,,,,,0.48,1.69,,,0.00,,183.00,,0.60,41.42,,193.00,7.83,268.00,2525.00,4.50,38.00,4.35,0.00,0.00,0.00,3.10,13.40,25.90,0.15,0.23,5.14,,1.80,39000,0.00
CURRY EN POUDRE,1360,325,9.52,12.66,37.52,13.81,,0.79,,1.14,,0.00,0.62,22.19,,33.20,,5.57,,,2.24,5.55,2.56,,,,,,,,,,,0.43,2.12,,,0.00,,478.00,,0.82,29.59,,254.00,4.29,349.00,15443.00,17.10,52.00,4.05,98.00,592.00,0.00,21.99,99.80,11.40,0.25,0.28,3.47,0.00,1.15,154000,0.00
GINGEMBRE MOULU,1452,347,9.38,9.12,64.24,5.95,,1.78,,1.22,,0.00,0.20,54.90,,12.50,,4.77,,,1.94,1.00,1.31,,,,,,,,,,,0.29,1.02,,,0.00,,116.00,,0.48,11.52,,184.00,26.50,148.00,1343.00,38.50,32.00,4.72,14.00,88.00,0.00,18.02,0.80,7.00,0.05,0.19,5.16,,0.84,39000,0.00
GINGEMBRE RACINE,355,80,78.89,1.82,17.77,0.75,,,,,,,,14.07,,2.00,,0.77,,,0.20,0.15,0.15,,,,,,,,,,,0.03,0.12,,,0.00,,16.00,,0.23,0.60,,43.00,0.23,34.00,415.00,0.70,13.00,0.34,0.00,0.00,,0.26,0.10,5.00,0.03,0.03,0.75,0.20,0.16,11000,0.00
LEVURE DE BIÈRE SÈCHE,1291,308,,49.35,30.85,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,123.38,,,8.88,,246.76,,,1974.09,,123.38,9.25,,,,,,,14.81,3.15,37.01,0.00,3.08,740280,18.51
MAYONNAISE,300,717,15.30,1.10,3.90,78.20,,,,,,,,3.42,,0.00,,3.42,,,11.89,19.60,42.67,,,,,,,,,,,5.00,37.68,,,0.00,,18.00,,0.01,0.50,,1.00,0.01,28.00,34.00,1.70,568.00,0.16,88.00,6.00,,5.22,42.20,0.00,0.00,0.00,0.01,0.22,0.58,8000,0.26
MENTHE FRAÎCHE,184,44,85.55,3.29,8.41,0.73,,,,,,,,,,6.80,,2.03,,,0.19,0.03,0.39,,,,,,,,,,,0.34,0.05,,,0.00,,199.00,,0.24,11.87,,63.00,1.12,60.00,458.00,,30.00,1.09,406.00,,,0.34,,13.30,0.08,0.18,0.95,0.25,0.16,105000,0.00
MENTHE SÈCHE,1381,330,9.00,25.20,51.00,2.80,,,,,,,,,,30.00,,11.90,,,,,,,,,,,,,,,,,,,,0.00,,16660.00,,,192N00,,,,,,,349.00,,650.00,3900.00,,,,1.00,,,,,,,0.00
MOUTARDE,473,113,76.70,5.50,10.50,6.30,,,,,,,,0.70,,6.70,,1.00,,,0.30,,,,,,,,,,,,,,,,,0.00,,115.00,,,2.20,,,,,,,2.60,,2.60,,,,,,,,,,,,
NOIX DE MUSCADE,2197,525,6.23,5.84,43.71,36.31,,,,,,,,0.00,,20.80,,2.34,,,25.94,3.22,0.35,,,,,,,,,,,0.00,0.35,,,0.00,,184.00,,1.03,3.04,,183.00,2.90,213.00,350.00,1.60,16.00,2.15,10.00,16.00,0.00,0.00,0.00,3.00,0.35,0.06,1.30,,0.16,76000,0.00
PIMENT ROUGE MOULU,1331,318,8.05,12.01,28.63,17.27,,,,,,,,19.09,,27.20,,6.04,,,3.26,2.75,8.37,,,,,,,,,,,0.66,7.71,,,0.00,,148.00,,0.37,7.88,,152.00,2.00,293.00,2014.00,8.80,30.00,2.48,4162.00,21840.00,0.00,29.83,80.30,76.40,0.33,0.92,8.70,,2.45,106000,0.00
POIVRE NOIR MOULU,1076,255,10.51,10.95,45.47,3.26,,,,,,,,37.67,,26.50,,4.33,,,0.98,1.01,1.13,,,,,,,,,,,0.16,0.97,,,0.00,,437.00,,1.13,28.86,,194.00,5.63,173.00,1259.00,3.10,44.00,1.42,30.00,156.00,0.00,0.72,163.70,21.00,0.11,0.24,1.14,,0.34,10000,0.00
VINAIGRE,59,14,93.80,0.00,5.90,0.00,,,,,,,,0.00,,0.00,,0.30,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,6.00,,0.04,0.60,,22.00,0.24,9.00,100.00,0.10,1.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00
THYM,1155,276,7.79,9.11,43.17,7.43,,,,,,,,25.23,,37.00,,11.74,,,2.73,0.47,1.19,,,,,,,,,,,0.69,0.50,,,0.00,,1890.00,,0.86,123.60,,220.00,7.87,201.00,814.00,4.60,55.00,6.18,380.00,2264.00,0.00,7.48,1714.50,50.00,0.51,0.40,4.94,,0.55,274000,0.00
TOMATE KETCHUP,435,104,66.58,1.52,27.29,0.36,,3.60,,7.50,,,,,,1.70,,4.26,,,0.05,0.06,0.15,,,,,,,,,,,,,,,0.00,,19.00,,0.21,0.70,,22.00,0.14,39.00,481.00,0.80,1186.00,0.23,102.00,,,,,15.10,0.09,0.07,1.37,0.14,0.18,15000,0.00
SEL FIN,0,0,0.10,0.00,0.00,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,99.93,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,4533.33,,,,,,39333.30,,,,,,,,,,,,,,0.00
Sauce tartare préemballée,,,37.1,0.99,0.99,4.6,55,3.11,1.01,,1.37,"< 0,2","< 0,2",0.73,0.8,0.47,,2.29,0,0.5,4.99,32.7,15.9,"< 0,01","< 0,01",0.03,"< 0,01","< 0,01",0.04,2.51,1.01,29.8,11.3,4.53,"< 0,01","< 0,01","< 0,01",35.1,1.94,15,1390,0.02,0.32,< 20,3.9,0.04,25,54,< 20,799,0.16,,23.3,"< 0,25",13.3,154,"< 0,5",0.019,0.015,"< 0,1",0.22,0.022,5.23,0.31
Mayonnaise à teneur réduite en matière grasse/Mayonnaise allégée préemballée,,,60.1,0.93,0.93,8.98,29.9,4.91,1.04,"< 0,5",1.2,"< 0,55","< 0,3",2.53,2.8,0.23,,2.62,0,traces,3.52,16.3,8.75,0,0,0,0,"< 0,05",0.059,2.11,0.69,16.3,4.8,2.92,0,"< 0,25","< 0,25",38,2.37,47.4,1520,"< 0,1",0.4,5.4,17.7,"< 0,1",26.3,70,< 5,936,0.12,62,2.03,"< 0,5",8,0,3.75,"< 0,04",0.032,0.08,0.21,"< 0,04",21.2,0.14
Sauce barbecue préemballée,578,136,63.4,0.56,0.56,30.3,0.6,27.5,5.2,"< 0,1",5.6,"< 0,1",0.31,16.4,2.7,1.2,traces,2.28,0,1.62,0.1,0.24,0.21,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0.07,0.03,0.24,0.19,0.019,"< 0,01","< 0,01","< 0,01",0,1.77,46,1080,0.04,0.93,< 20,12,0.16,15,220,< 20,706,0.1,0,87.1,"< 0,25",1.17,1.62,"< 0,5","< 0,015","< 0,01",0.53,0.096,0.043,9.28,0
Meloukhia ,,,67.7,1.13,1.13,0.2,21,,"< 0,5",,1.2,"< 0,5","< 0,5","< 0,5","< 0,5",8.4,,1.6,0,,,,,,,,,,,,,,,,,,,,0.95,81.8,764,< 1,1.9,< 10,37.3,< 1,7.1,179,< 5,378,< 1,,83,,12.4,,,"< 0,05",0.09,"< 0,05",0.27,"< 0,05",28.4,
Moutarde à l'ancienne,591,142,67.8,6.6,6.6,2.2,9.9,2.2,0.84,,1.36,"< 0,2","< 0,2","< 0,2","< 0,35",4.5,0,6.04,0,3.02,0.61,5.34,3.47,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0.33,0.12,1.68,2.03,1.25,"< 0,01","< 0,01","< 0,01",5.44,4.9,110,2920,0.16,1.7,< 20,95,0.57,210,200,70,1960,1.1,< 21,29.3,"< 0,25",1.18,2.63,"< 0,5",0.22,0.044,0.94,0.21,0.018,18,
Cornichon aigredoux,152,36,91.5,1.25,1.25,5,0.35,4,,,,,,,,1.5,0,1.58,0,1.6,0,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,386,,,,,,,,,,,,,,
Olive noire à l'huile (à la grecque),1360,332,45.7,2.19,2.19,"< 0,1",33.3,,,,0.3,,"< 0,2","< 0,25",,11.6,0,9.55,0,traces,4.02,22.6,5.06,"< 0,016","< 0,016","< 0,016","< 0,016","< 0,016","< 0,016",3.23,0.79,21.6,4.74,0.32,"< 0,016","< 0,016","< 0,016","< 0,7",8.45,110,4610,0.27,1.7,< 20,29,0.28,60,320,< 50,3380,0.62,0,12.2,0,2.57,,0.62,0.058,0.05,0.19,0.17,0.048,5.83,0.028
Olive (aliment moyen),667,162,74.6,1.39,1.39,0.043,16.5,0.011,0.05,0.05,0.063,0.05,0.055,0.063,0.18,4.38,0,3.27,0,0.36,2.35,11.3,1.63,0.0048,0.0048,0.0048,0.0048,0.0048,0.016,1.92,0.33,10.8,1.43,0.17,0.0048,0.0048,0.0048,0.88,3.03,64.2,1720,0.13,1.79,10.9,22,0.046,9.02,37.9,12.9,1210,0.1,0.052,73.4,0.1,5.26,11.3,2.27,0.012,0.0072,0.057,0.04,0.02,3.2,0.0051
Olive noire (aliment moyen),,,70.7,1.49,1.49,0.05,19.5,0,,,,,,,,6.97,0,3.26,0,,2.35,11.9,2.02,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,1.92,0.36,11.4,1.85,0.16,0.0041,0.0041,0.0041,0.35,2.72,84.3,1580,0.19,7.53,10,17.9,0.1,15.3,62,25,1090,0.21,0,229,0,5.6,1.4,0.3,0.023,0.011,0.07,0.056,0.028,2.98,0.004
Gingembre poudre,1410,335,9.94,8.98,8.98,58.3,4.24,3.39,1.78,0.19,1.22,0,0,0.2,54.9,14.1,0,5.22,0,traces,2.6,0.48,0.93,0,0.027,0,1.56,0.068,0.044,0.57,0.23,0.36,,0.22,,0,0,0,0.068,114,,0.48,19.8,,214,33.3,168,1320,,27,3.64,0,18,0,0,0.8,0.7,0.046,0.17,9.62,0.48,0.63,13,0
Poivre noir poudre,1380,330,9,13.3,13.3,39.5,7.5,0.64,0.23,0.15,0.24,0,0,0.02,,25.7,0,4.99,0,traces,2.9,2.06,2.17,"< 0,01","< 0,01","< 0,01","< 0,01",0.19,0.22,1.65,0.46,2.06,1.54,0.63,"< 0,01","< 0,01","< 0,01",0,0.036,480,300,1,17,< 20,190,15,170,1600,< 20,14.2,0.99,0,608,"< 0,25",1.93,144,"< 0,5",0.12,"< 0,01",0.46,1.82,0.23,21.8,0
Poivre blanc poudre,1300,310,11.4,11.4,11.4,48.3,2.11,,,,,,,,traces,26.2,0,1.6,0,traces,0.63,0.79,0.62,,,,,,,,,,,,,,,0,0.013,265,,0.91,14.3,,90,4.3,176,73,3,5,1.13,0,,0,,0,21,0.022,0.13,0.21,,0.1,10,0
Cannelle poudre,1000,243,10.6,3.87,3.87,27.5,1.22,2.17,1.11,0,1.04,0,0,0.02,,53.1,0,3.6,0,traces,0.44,0.31,0.077,0,0,0,0.004,0.0075,0.012,0.13,0.1,0.31,0.063,0.013,0,0,0,0,0.025,1000,,0.34,8.32,,60,17.5,64,431,3.1,10,1.83,0,112,0,2.32,31.2,3.8,0.022,0.041,1.33,0.36,0.16,6,0
Cumin graine,1780,427,8.06,17.8,17.8,33.7,22.3,2.25,,,,,,,,10.5,0,7.62,0,traces,1.54,14,3.28,0,0,0,0.018,0.018,0.018,1.14,0.34,14,2.53,0,,0,0,0,0.42,931,,0.87,66.4,,366,3.33,499,1790,,168,4.8,0,762,0,3.33,5.4,7.7,0.63,0.33,4.58,,0.44,10,0
Fenouil graine,1350,326,8.81,15.7,15.7,12.5,14.9,12.5,,,,,,,,39.8,0,8.21,0,traces,0.48,9.91,1.69,,,,,,,0.48,,9.91,1.69,,,,,0,0.22,1200,,1.07,18.5,,385,6.53,487,1690,,88,3.7,0,81,0,2.72,0,21,0.41,0.35,6.05,,0.47,0,0
Gingembre racine crue,137,32.9,90.9,1.1,1.1,3.4,1.1,1,0.64,,0.36,"< 0,2","< 0,2","< 0,2",2,2.7,"< 0,5",0.78,0,traces,0.09,0.8,0.13,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0.06,0.03,0.8,0.13,"< 0,01","< 0,01","< 0,01","< 0,01",0,0.016,11,17.1,0.05,0.4,< 20,26,7,26,320,< 20,6.3,0.24,0,43,"< 0,25",0.75,"< 0,8","< 0,5",0.018,"< 0,01","< 0,1",0.13,0.1,11.8,0
Curcuma poudre,1220,291,12.9,9.68,9.68,44.4,3.25,3.21,0.45,0,0.38,0,0,2.38,,22.7,0,7.08,0,traces,1.84,0.45,0.76,0,0,0.003,0.85,0.003,0.39,0.16,0.003,0.075,,0.003,,0,0,0,0.068,168,,1.3,55,,208,19.8,299,2080,,27,4.5,0,,0,4.43,13.4,0.7,0.058,0.15,1.35,0.54,0.11,20,0
Basilic frais,145,34.8,91.7,3.35,3.35,2.55,0.47,0.37,0.02,0.27,0.02,0,0,0,0,3.47,0,1.49,0,traces,0.13,0.046,0.2,0,0,0,0,0,0,0.036,0.005,,,,,0,0,0,0.028,273,,0.39,5.24,,64,1.15,56,295,,12,0.81,0,3140,0,0.8,415,14.5,0.034,0.076,0.9,0.21,0.16,68,0
Romarin frais,498,121,67.8,3.31,3.31,6.6,5.86,,,,,,,,,14.1,0,2.35,0,traces,2.84,1.16,0.9,,,,0.019,0.014,0.12,1.92,0.23,,,,,,,0,0.065,317,,0.3,6.65,,91,0.96,66,668,,26,0.93,0,,0,,,21.8,0.036,0.15,0.91,0.8,0.34,109,0
Persil séché,1210,291,3.95,29,29,16.8,5.34,7.27,0.42,0,2.76,0,0,4.09,,29.7,0,15.2,0,traces,1.38,0.76,3.12,0,0,0,0,0,0,1.22,0.058,0.76,1.25,1.86,,0,0,0,1.05,658,,0.62,38,,386,5.57,492,4490,,422,5.78,0,1150,0,8.96,1360,137,0.62,2.32,10.2,1.79,1.14,187,0
Menthe séchée,1180,283,11.3,19.9,19.9,22.2,6.03,,,,,,,,,29.8,0,10.7,0,traces,1.58,0.21,3.26,,,,,,0.037,1.13,0.16,,,,,,,0,0.86,1490,,1.54,87.5,,602,11.5,276,1920,,344,2.41,0,,0,,,0,0.29,1.42,6.56,1.4,2.58,530,0
Basilic séché,1010,244,10.4,23,23,10.1,4.07,1.71,0.75,0.19,0.75,0,0,0.02,,37.7,0,14.9,0,traces,2.16,1.24,0.5,0,0,0,0,0,0.046,1.04,1.08,1.07,,0.3,,0,0,0,0.19,2240,,2.1,89.8,,711,9.8,274,2630,,76,7.1,0,378,0,10.7,1710,0.8,0.08,1.2,4.9,0.84,1.34,310,0
Meloukhia feuilles de corète séchées en poudre,994,239,8.4,23,23,12.7,1.8,,"< 0,5",,3.7,"< 0,5","< 0,5",3.2,0.6,40,0,14.1,0,traces,,,,,,,,,,,,,,,,,,,0.17,2000,963,1.6,87,321,609,12.5,307,3580,< 5,67.9,3,,2360,,2.8,,,0.09,0.36,2.6,2.4,0.55,28.3,
Son de blé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son d'avoine,1510,359,7.53,15.8,15.8,51,6.48,2.23,,,,,,,,16.7,0,2.55,0,0,1.16,2.38,2.77,0,0,0,0,0.024,0.015,1.06,0.067,,,,,0,0,0,0.016,62.6,,0.4,5.41,,235,5.63,627,566,45.2,6.5,3.11,0,0,0,1.01,3.2,0,1.17,0.22,0.93,1.49,0.17,52,0
Son de maïs,921,226,4.71,8.36,8.36,6.65,0.92,0,,,,,,,,79,0,0.36,0,0,0.13,0.24,0.42,0,0,0,0,0,0,0.11,0.015,,,,,0,0,0,0.018,42,,0.25,2.79,,64,0.14,72,44,,7,1.56,0,32,0,0.42,0.3,0,0.01,0.1,2.74,0.64,0.15,4,0
Son (aliment moyen),1450,344,7.8,15.7,15.7,46,6.09,2.27,,,,,,,,21.3,0,3.1,0,0,1.1,2.07,2.72,0,0,0,0,0.02,0.014,0.99,0.062,,,,,0,0,0,0.019,64.6,,0.52,7.11,,291,7.02,701,692,38.2,7.74,3.91,0,1.09,0,1.11,10.3,0,1.09,0.27,4.69,1.64,0.38,62.5,0
Germe de blé,1540,368,7.5,27.2,29.2,35.1,9.5,10,"< 0,2",,"< 0,2","< 0,2",0.4,9.5,17.8,16.3,0,4.35,0,0,1.83,1.52,5.72,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0.02,1.7,0.09,1.23,5.07,0.64,"< 0,01","< 0,01","< 0,01",0,0.018,54,107,0.78,8.9,< 20,250,17,1000,990,< 20,7.2,14,0,22.4,"< 0,25",10.2,2.87,"< 0,5",1.32,0.14,1.68,1.35,0.83,143,0
Gélatine sèche,1480,348,11.7,86.9,86.9,0,0.1,,0,,0,0,0,0,,0,0,1.28,0,traces,0.036,0.041,,,,,,,0.003,0.022,0.01,0.034,0.002,0.001,0.001,0,,,0.75,280,,,1.2,5,11,,0,12,,298,,0,,0,0,,0,0,0.07,0,0,0.006,0,0
Levure alimentaire,1400,334,5,40.4,40.4,21.8,4.5,2.5,"< 0,2",,0.3,"< 0,2",2.2,"< 0,2",3.7,22.5,0,5.83,0,0,0.7,2.1,0.01,"< 0,01","< 0,01",0.0083,0.025,0.033,0.033,0.41,0.19,1.82,0.0093,0.00073,"< 0,01","< 0,01","< 0,01","< 0,7",0.35,130,251,0.39,4.1,< 20,150,0.89,1100,1700,< 20,141,8.4,< 21,< 5,"< 0,25",0.098,"< 0,8","< 0,5",11.6,1,18.5,5.14,0.88,697,0.34
Levure de boulanger compressée,,,69,8.23,8.3,11.9,1.9,0,0,0,0,0,0,0,,7.15,0,1.8,0,,0.26,1.14,0.0045,0,0,0,0,0.013,0,0.19,0.065,0.58,0.0045,0,0,0,0,0,0.058,17,20,0.15,2.43,0.6,35.5,0.26,338,606,1,23,7.24,0,0,0,0.2,0,0.1,1.18,1.27,9.9,4.2,0.77,893,0.01
Levure de boulanger déshydratée,,,2.94,44.5,44.5,17.9,6.37,0,0,0,0,0,0,0,,23.3,0,7.99,0,,1.5,4.31,0.017,0,0,0,0,0.049,0,0.71,0.25,,,,,0,0,0,0.56,30,0,0.44,2.17,5,54,0.31,637,955,,226,7.94,0,0,0,0,0.4,0.3,11,4,40.2,13.5,1.5,2340,0.07
Bicarbonate de soude,1.7,0.4,0.2,0.1,0.1,0,0,0,,,,,,,,0,0,,0,traces,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,,0,0,0,0,,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crudité sans assaisonnement (aliment moyen),125,29.9,93.2,0.94,0.94,3.07,0.7,2.27,1.12,,1.02,0.085,0.085,0.58,0.22,1.51,0.29,0.69,0,0.094,0.12,0.29,0.095,0.0041,0.0041,0.0041,0.0041,0.0041,0.0037,0.12,0.0074,0.21,0.078,0.017,0.0043,0.0041,0.0041,0.076,0.031,25.1,44.9,0.048,0.42,7.21,11.7,0.17,25.6,241,7.79,12.5,0.17,0.017,1930,0.093,0.34,24,12.2,0.042,0.025,0.37,0.17,0.082,38.8,0
